CÓDIGO,SUBSTITUTOS,NOME,FABRICA,EMBALAGEM,PREÇO 38%,MST C/,MUL C/,CADASTRO PRODUTO,EM LINHA,ECOM,COMPRADOR,SEGMENTO,CATEGORIA,GRUPO,SUBGRUPO,VALOR EST.,ABC GRU 90D,EST. CD,ULT. ENT. CD,EST. UNE,ULT. ENT. UNE,LVERDE,EXPO. MIN,TRAVA,END. ESTOQUE UNE,ULT. AUDITORIA PDV,ROTINA,CLASSE,DATA CRIA LINHAVERDE,SOLICITAÇÃO,QTD SOL,DATA SOL,STATUS,ENDEREÇO LIN CD,ENDEREÇO RESERVA CD,EAN
689779,,ACESSORIO ASA ARCANJO 863-3 PRATA,USINA DE ARTE,ATA - UNID      ,51.9002,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,PRODUTOS P/CARNAVAL                ,SIMPLES,0.0,C,,2023-02-13 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689782,,ACESSORIO ASA BORBOLETA 864-1 BRANCO IRISADO,USINA DE ARTE,ATA - UNID      ,24.9922,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689781,,ACESSORIO ASA BORBOLETA 864-3 LILAS IRISADO,USINA DE ARTE,ATA - UNID      ,24.9922,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-13 00:00:00,0,,0,,NÃO,0,2024-02-09 00:00:00,COMPRAS INVENTÁRIOS PRÉ-DEFINIDOS,,00:00:00,,,,,,,
689783,,ACESSORIO ASA BORBOLETA ROSA IRISADO,USINA DE ARTE,ATA - UNID      ,24.9922,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689780,,ACESSORIO ASA BORBOLETA VERMELHO IRISADO,USINA DE ARTE,ATA - UNID      ,24.9922,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689799,,ACESSORIO ASA FADINHA BRANCO IRISADO,USINA DE ARTE,ATA - UNID      ,25.9904,15,0,2021-12-27,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689801,,ACESSORIO ASA FADINHA LILAS IRISADO,USINA DE ARTE,ATA - UNID      ,25.9904,15,0,2021-12-27,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689802,,ACESSORIO ASA FADINHA PRETO IRISADO,USINA DE ARTE,ATA - UNID      ,25.9904,15,0,2021-12-27,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689800,,ACESSORIO ASA FADINHA ROSA IRISADO,USINA DE ARTE,ATA - UNID      ,25.9904,15,0,2021-12-27,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
312204,,ACESSORIO BORBOLETA ASA BEBE 1402-1S ROSA,KIT,ATA - UNID      ,9.9882,800,20,2012-05-22,SIM,NÃO,NEILOR COMPRAS ,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,AA,,2023-10-23 00:00:00,0,,0,,NÃO,0,2024-03-01 00:00:00,COMPRAS INVENTÁRIOS PRÉ-DEFINIDOS,,00:00:00,,,,,,,
695654,,ACESSORIO CILIOS A220407-02 ROSA,KIT,ATA - C/1PAR    ,20.491,360,10,2022-04-12,SIM,NÃO,NEILOR COMPRAS ,SAZONAIS,CARNAVAL,ARTIGOS P/FESTAS                   ,SIMPLES,0.0,C,,2022-09-29 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
695656,,ACESSORIO CILIOS BICOLOR A220407-03 AMARELO/ROSA,KIT,ATA - C/1PAR    ,20.491,360,10,2022-04-12,SIM,NÃO,NEILOR COMPRAS ,SAZONAIS,CARNAVAL,ARTIGOS P/FESTAS                   ,SIMPLES,0.0,C,,2022-09-29 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
